#NAME,SYMBOL,OLD SYMBOL
Nasdaq Asia Technology CAD NTR Index,NQASIA10CADN,NQASIA9000CADN
Nasdaq Asia Technology CAD TR Index,NQASIA10CADT,NQASIA9000CADT
Nasdaq Asia Technology EUR Index,NQASIA10EUR,NQASIA9000EUR
Nasdaq Asia Technology EUR NTR Index,NQASIA10EURN,NQASIA9000EURN
Nasdaq Asia Technology EUR TR Index,NQASIA10EURT,NQASIA9000EURT
Nasdaq Asia Technology GBP Index,NQASIA10GBP,NQASIA9000GBP
Nasdaq Asia Technology GBP NTR Index,NQASIA10GBPN,NQASIA9000GBPN
Nasdaq Asia Technology GBP TR Index,NQASIA10GBPT,NQASIA9000GBPT
Nasdaq Asia Technology Index,NQASIA10,NQASIA9000
Nasdaq Asia Technology JPY Index,NQASIA10JPY,NQASIA9000JPY
Nasdaq Asia Technology JPY NTR Index,NQASIA10JPYN,NQASIA9000JPYN
Nasdaq Asia Technology JPY TR Index,NQASIA10JPYT,NQASIA9000JPYT
Nasdaq Asia Technology Large Mid Cap AUD Index,NQASIA10LMAUD,NQASIA9000LMAUD
Nasdaq Asia Technology Large Mid Cap AUD NTR Index,NQASIA10LMAUDN,NQASIA9000LMAUDN
Nasdaq Asia Technology Large Mid Cap AUD TR Index,NQASIA10LMAUDT,NQASIA9000LMAUDT
Nasdaq Asia Technology Large Mid Cap CAD Index,NQASIA10LMCAD,NQASIA9000LMCAD
Nasdaq Asia Technology Large Mid Cap CAD NTR Index,NQASIA10LMCADN,NQASIA9000LMCADN
Nasdaq Asia Technology Large Mid Cap CAD TR Index,NQASIA10LMCADT,NQASIA9000LMCADT
Nasdaq Asia Technology Large Mid Cap EUR Index,NQASIA10LMEUR,NQASIA9000LMEUR
Nasdaq Asia Technology Large Mid Cap EUR NTR Index,NQASIA10LMEURN,NQASIA9000LMEURN
Nasdaq Asia Technology Large Mid Cap EUR TR Index,NQASIA10LMEURT,NQASIA9000LMEURT
Nasdaq Asia Technology Large Mid Cap GBP Index,NQASIA10LMGBP,NQASIA9000LMGBP
