Date,DATABASE_CODE,DATASET_CODE,Index Value,Total Market Value,Dividend Market Value
12/7/2020,NASDAQOMX,NQCA40LMCADT,1104.36,119000000000.0,0
12/8/2020,NASDAQOMX,NQCA40LMCADT,1102.41,119000000000.0,0
12/9/2020,NASDAQOMX,NQCA40LMCADT,1111.86,120000000000.0,0
12/10/2020,NASDAQOMX,NQCA40LMCADT,1102.33,119000000000.0,0
12/11/2020,NASDAQOMX,NQCA40LMCADT,1092.04,118000000000.0,0
12/14/2020,NASDAQOMX,NQCA40LMCADT,1105.0,119000000000.0,0
12/15/2020,NASDAQOMX,NQCA40LMCADT,1111.5,120000000000.0,0
12/16/2020,NASDAQOMX,NQCA40LMCADT,1108.79,120000000000.0,0
12/17/2020,NASDAQOMX,NQCA40LMCADT,1116.93,120000000000.0,0
12/18/2020,NASDAQOMX,NQCA40LMCADT,1115.55,120000000000.0,178852298
12/21/2020,NASDAQOMX,NQCA40LMCADT,1111.78,120000000000.0,0
12/22/2020,NASDAQOMX,NQCA40LMCADT,1118.52,121000000000.0,0
12/23/2020,NASDAQOMX,NQCA40LMCADT,1133.78,122000000000.0,0
12/24/2020,NASDAQOMX,NQCA40LMCADT,1131.09,122000000000.0,0
12/25/2020,NASDAQOMX,NQCA40LMCADT,1131.09,122000000000.0,0
12/28/2020,NASDAQOMX,NQCA40LMCADT,1131.09,122000000000.0,0
12/29/2020,NASDAQOMX,NQCA40LMCADT,1132.71,122000000000.0,0
12/30/2020,NASDAQOMX,NQCA40LMCADT,1130.57,122000000000.0,0
12/31/2020,NASDAQOMX,NQCA40LMCADT,1115.26,120000000000.0,0
9/22/2020,NASDAQOMX,NQCA45CADT,1032.27,61462400715.0,0
9/23/2020,NASDAQOMX,NQCA45CADT,1027.71,61190799551.0,0
9/24/2020,NASDAQOMX,NQCA45CADT,1027.18,61159735990.0,0
9/25/2020,NASDAQOMX,NQCA45CADT,1034.78,61611759056.0,0
9/28/2020,NASDAQOMX,NQCA45CADT,1042.35,62062955512.0,0
9/29/2020,NASDAQOMX,NQCA45CADT,1039.21,61849191439.0,26802412
9/30/2020,NASDAQOMX,NQCA45CADT,1033.58,61423710068.0,0
10/1/2020,NASDAQOMX,NQCA45CADT,1035.45,61534849286.0,0
10/2/2020,NASDAQOMX,NQCA45CADT,1034.8,61496341987.0,0
10/5/2020,NASDAQOMX,NQCA45CADT,1043.25,61998604006.0,0
10/6/2020,NASDAQOMX,NQCA45CADT,1041.69,61905644834.0,0
10/7/2020,NASDAQOMX,NQCA45CADT,1038.97,61751391926.0,0
10/8/2020,NASDAQOMX,NQCA45CADT,1036.89,61627871448.0,0
10/9/2020,NASDAQOMX,NQCA45CADT,1034.09,61461510206.0,0
10/12/2020,NASDAQOMX,NQCA45CADT,1034.09,61461510206.0,0
10/13/2020,NASDAQOMX,NQCA45CADT,1032.94,61392975300.0,0
10/14/2020,NASDAQOMX,NQCA45CADT,1029.6,61172281820.0,22235799
10/15/2020,NASDAQOMX,NQCA45CADT,1035.63,61530833964.0,0
10/16/2020,NASDAQOMX,NQCA45CADT,1032.77,61360626918.0,0
10/19/2020,NASDAQOMX,NQCA45CADT,1025.69,60940320473.0,0
10/20/2020,NASDAQOMX,NQCA45CADT,1024.01,60840032307.0,0
10/21/2020,NASDAQOMX,NQCA45CADT,1025.48,60924863499.0,0
10/22/2020,NASDAQOMX,NQCA45CADT,1019.53,60514603634.0,56526229
10/23/2020,NASDAQOMX,NQCA45CADT,1018.28,60440400245.0,0
10/26/2020,NASDAQOMX,NQCA45CADT,1010.24,59963388409.0,0
10/27/2020,NASDAQOMX,NQCA45CADT,1008.13,59838182012.0,0
10/28/2020,NASDAQOMX,NQCA45CADT,995.11,59064946835.0,0
10/29/2020,NASDAQOMX,NQCA45CADT,994.58,59033950125.0,0
10/30/2020,NASDAQOMX,NQCA45CADT,986.52,58555063769.0,0
11/2/2020,NASDAQOMX,NQCA45CADT,995.55,59091061037.0,0
11/3/2020,NASDAQOMX,NQCA45CADT,997.57,59210902933.0,0
11/4/2020,NASDAQOMX,NQCA45CADT,1007.68,59811030947.0,0
11/5/2020,NASDAQOMX,NQCA45CADT,1014.35,60207140074.0,0
11/6/2020,NASDAQOMX,NQCA45CADT,1029.68,61117001052.0,0
11/9/2020,NASDAQOMX,NQCA45CADT,1013.16,60136740449.0,0
11/10/2020,NASDAQOMX,NQCA45CADT,1009.91,59943330403.0,0
11/11/2020,NASDAQOMX,NQCA45CADT,1015.69,60049858175.0,0
11/12/2020,NASDAQOMX,NQCA45CADT,1026.25,60674340764.0,0
11/13/2020,NASDAQOMX,NQCA45CADT,1015.7,60050477368.0,0
11/16/2020,NASDAQOMX,NQCA45CADT,1014.03,59951481188.0,0
11/17/2020,NASDAQOMX,NQCA45CADT,1016.98,60126048546.0,0
11/18/2020,NASDAQOMX,NQCA45CADT,999.38,59085772726.0,0
11/19/2020,NASDAQOMX,NQCA45CADT,1000.12,59129359539.0,0
11/20/2020,NASDAQOMX,NQCA45CADT,1003.46,59327075044.0,0
11/23/2020,NASDAQOMX,NQCA45CADT,1007.62,59560246853.0,12555248
11/24/2020,NASDAQOMX,NQCA45CADT,1003.52,59317665370.0,0
11/25/2020,NASDAQOMX,NQCA45CADT,1002.1,59193050543.0,0
11/26/2020,NASDAQOMX,NQCA45CADT,1007.24,59496700465.0,0
11/27/2020,NASDAQOMX,NQCA45CADT,1013.85,59886780714.0,0
